Sector,Growth_Change_2014,Recovery_Month_2014,Growth_Change_2020,Recovery_Month_2020,Policy_Benefit,Recovery_Improvement
"Mining, quarrying, and oil and gas extraction",-0.7682634404967418,1,0.009393475823212039,4,0.7776569163199538,-3
Utilities,-0.5906204714015819,5,-0.08990793748351766,4,0.5007125339180643,1
"Arts, entertainment and recreation",-0.501791185586029,1,0.744773216813535,4,1.2465644023995641,-3
Finance and insurance,-0.15525445167830165,1,-0.09700919364614459,4,0.05824525803215706,-3
Public administration,0.018314810684325167,1,0.6757404722199963,4,0.6574256615356712,-3
"Professional, scientific and technical services",0.0833661092601616,1,0.16514327178498678,4,0.08177716252482518,-3
Health care and social assistance,0.09785411374912753,1,-0.025093650262362127,4,-0.12294776401148966,-3
Other services (except public administration),0.13650161225003893,1,-0.4103335455320498,4,-0.5468351577820887,-3
Real estate and rental and leasing,0.14430373572121602,1,-0.288733977085068,4,-0.433037712806284,-3
Manufacturing,0.18530916683708168,1,0.5674446446840462,3,0.38213547784696456,-2
Service producing industries 11,0.19769953159527132,1,-0.8846909535388955,4,-1.0823904851341668,-3
Accommodation and food services,0.19985111718126508,1,-0.5564129373585012,4,-0.7562640545397663,-3
Trade 12,0.21892730258159662,1,-0.2445813080804362,4,-0.46350861066203286,-3
Transportation and warehousing,0.3268787322576944,1,-0.8386298136459486,4,-1.165508545903643,-3
Information and cultural industries,0.36162997416672316,1,0.0485623248389368,4,-0.31306764932778636,-3
Management of companies and enterprises,0.4356563062517814,1,-0.2103099435776098,4,-0.6459662498293912,-3
"Administrative and support, waste management and remediation services",0.4747670266549552,1,0.8750121620827515,4,0.4002451354277963,-3
Goods producing industries 9,0.5731855941503466,1,1.4610536172084423,3,0.8878680230580956,-2
Educational services,1.4025821567859575,4,-9.109967562019104,7,-10.512549718805062,-3
Construction,1.459442264276067,1,3.2234727470862667,3,1.7640304828101998,-2
"Forestry, logging and support 10",4.753033665055232,1,6.013218955516737,3,1.2601852904615054,-2
