,Industrial aggregate including unclassified businesses 6 7 8,Industrial aggregate excluding unclassified businesses 6 7 8,Goods producing industries 9,"Forestry, logging and support 10","Mining, quarrying, and oil and gas extraction",Utilities,Construction,Manufacturing,Service producing industries 11,Trade 12,Transportation and warehousing,Information and cultural industries,Finance and insurance,Real estate and rental and leasing,"Professional, scientific and technical services",Management of companies and enterprises,"Administrative and support, waste management and remediation services",Educational services,Health care and social assistance,"Arts, entertainment and recreation",Accommodation and food services,Other services (except public administration),Public administration,Unclassified businesses 7
2010-01-01,14311612.0,14084327.0,2461566.0,34569.0,170995.0,115474.0,716909.0,1423618.0,11622761.0,2591934.0,653184.0,328719.0,683626.0,248667.0,747067.0,111492.0,691169.0,1195583.0,1616119.0,216122.0,1030541.0,493877.0,1014659.0,227285.0
2010-02-01,14360081.0,14130148.0,2492451.0,35487.0,178700.0,114792.0,724739.0,1438731.0,11637697.0,2535141.0,654391.0,329125.0,679647.0,244246.0,751043.0,106283.0,706951.0,1249375.0,1616108.0,218644.0,1030870.0,495156.0,1020717.0,229933.0
2010-03-01,14410902.0,14172189.0,2509402.0,34797.0,179098.0,114693.0,739610.0,1441205.0,11662786.0,2529806.0,654365.0,331896.0,677062.0,243114.0,754957.0,105341.0,708873.0,1252342.0,1625889.0,220941.0,1031690.0,500252.0,1026261.0,238714.0
2010-04-01,14549731.0,14304730.0,2557231.0,31750.0,177906.0,116230.0,776244.0,1455101.0,11747498.0,2568407.0,655083.0,332480.0,679460.0,245162.0,758713.0,106453.0,719609.0,1245611.0,1629302.0,234614.0,1036129.0,506068.0,1030408.0,245001.0
2010-05-01,14783230.0,14525472.0,2660301.0,36043.0,180486.0,118408.0,836694.0,1488670.0,11865170.0,2600818.0,656528.0,334737.0,681332.0,247853.0,765037.0,107159.0,731685.0,1224493.0,1630125.0,251741.0,1071527.0,510268.0,1051867.0,257758.0
2010-06-01,15045619.0,14768604.0,2741130.0,44137.0,185824.0,120815.0,875047.0,1515307.0,12027474.0,2622862.0,668749.0,337539.0,687768.0,255432.0,771672.0,108248.0,748531.0,1202311.0,1651654.0,270522.0,1108618.0,518153.0,1075414.0,277014.0
2010-07-01,14861075.0,14570283.0,2757724.0,47931.0,191405.0,120933.0,879851.0,1517603.0,11812559.0,2626642.0,656837.0,339117.0,687317.0,256325.0,767897.0,107889.0,753179.0,943309.0,1662387.0,283855.0,1121947.0,518849.0,1087008.0,290792.0
2010-08-01,14639907.0,14345826.0,2750341.0,46267.0,192390.0,119487.0,896670.0,1495528.0,11595484.0,2605399.0,650644.0,341099.0,682380.0,253340.0,762710.0,107637.0,748009.0,811942.0,1657096.0,280564.0,1105267.0,512802.0,1076595.0,294081.0
2010-09-01,14967490.0,14662499.0,2767493.0,45772.0,194953.0,118843.0,902576.0,1505349.0,11895006.0,2609984.0,669141.0,342798.0,680909.0,253387.0,761190.0,107776.0,752255.0,1104190.0,1658620.0,270463.0,1109731.0,514762.0,1059802.0,304990.0
2010-10-01,15010819.0,14709244.0,2746645.0,42908.0,194993.0,118414.0,895836.0,1494494.0,11962599.0,2620715.0,665917.0,345985.0,684771.0,251598.0,761153.0,105599.0,750352.0,1225902.0,1651512.0,248926.0,1086656.0,515301.0,1048212.0,301575.0
2010-11-01,14953556.0,14662790.0,2713598.0,40021.0,193635.0,118320.0,878435.0,1483187.0,11949193.0,2640269.0,664485.0,343275.0,688084.0,253509.0,765244.0,103833.0,741491.0,1249458.0,1653811.0,223860.0,1066942.0,515394.0,1039536.0,290766.0
2010-12-01,15072387.0,14780838.0,2687488.0,38809.0,199553.0,120513.0,834634.0,1493979.0,12093350.0,2694684.0,672822.0,349427.0,685173.0,261145.0,779704.0,106951.0,738941.0,1271464.0,1677926.0,222790.0,1070393.0,519343.0,1042586.0,291548.0
2011-01-01,14577610.0,14304574.0,2543142.0,35532.0,199248.0,118249.0,746174.0,1443938.0,11761432.0,2610734.0,660955.0,345917.0,677918.0,251697.0,761307.0,102409.0,708130.0,1207659.0,1654778.0,217774.0,1041394.0,503337.0,1017423.0,273036.0
2011-02-01,14631158.0,14375324.0,2585940.0,36108.0,208531.0,119471.0,760182.0,1461647.0,11789384.0,2565536.0,662049.0,343577.0,682813.0,251985.0,771259.0,101235.0,713766.0,1252317.0,1648116.0,221073.0,1040124.0,505884.0,1029649.0,255834.0
2011-03-01,14688209.0,14429121.0,2603076.0,35408.0,208599.0,118948.0,772461.0,1467661.0,11826045.0,2560118.0,661142.0,344001.0,680224.0,249939.0,776356.0,100426.0,715941.0,1256893.0,1664017.0,221963.0,1048634.0,509959.0,1036431.0,259088.0
2011-04-01,14807711.0,14543792.0,2648841.0,32123.0,205030.0,120569.0,800978.0,1490141.0,11894952.0,2577275.0,666816.0,342407.0,684097.0,249255.0,780308.0,101082.0,726929.0,1251810.0,1669982.0,230577.0,1063688.0,514287.0,1036440.0,263919.0
2011-05-01,15014466.0,14734111.0,2722487.0,33521.0,200829.0,126027.0,851650.0,1510459.0,12011624.0,2603305.0,668241.0,343380.0,684615.0,251954.0,786410.0,101902.0,744999.0,1216487.0,1671188.0,251590.0,1094123.0,517033.0,1076395.0,280355.0
2011-06-01,15323337.0,15023663.0,2818647.0,43398.0,205615.0,126229.0,906739.0,1536667.0,12205016.0,2639754.0,682947.0,346319.0,692971.0,261226.0,794372.0,105265.0,761013.0,1193406.0,1688117.0,274614.0,1131037.0,527218.0,1106758.0,299674.0
2011-07-01,15094806.0,14786632.0,2833824.0,47495.0,206622.0,126473.0,918274.0,1534960.0,11952808.0,2633575.0,670322.0,347815.0,691362.0,259134.0,793250.0,104881.0,762352.0,920929.0,1701603.0,286641.0,1142103.0,530514.0,1108327.0,308174.0
2011-08-01,14904312.0,14595351.0,2815081.0,47180.0,205583.0,125292.0,923624.0,1513401.0,11780271.0,2620352.0,669971.0,347184.0,686302.0,257530.0,790842.0,105127.0,759320.0,811623.0,1697756.0,281234.0,1139859.0,527564.0,1085605.0,308960.0
2011-09-01,15235056.0,14915815.0,2848323.0,46240.0,209599.0,124025.0,940717.0,1527742.0,12067492.0,2627486.0,684690.0,348659.0,685210.0,257394.0,790387.0,103462.0,762935.0,1096004.0,1699930.0,276437.0,1144928.0,528997.0,1060973.0,319241.0
2011-10-01,15231974.0,14916818.0,2814408.0,43549.0,210240.0,125341.0,928792.0,1506486.0,12102409.0,2624909.0,685571.0,346997.0,683323.0,252263.0,788314.0,103711.0,758555.0,1220726.0,1690590.0,254145.0,1122428.0,527287.0,1043589.0,315156.0
