"Gross domestic product (GDP) at basic prices, by industry, quarterly average (x 1,000,000) c 1 2 3"
"Frequency: Quarterly"
"Table: 36-10-0449-01"
"Release date: 2025-12-23"
"Geography: Canada"
""
""

"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonal adjustment","Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prices","Chained (2017) dollars 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North American Industry Classification System (NAICS) 3","Q1 2010","Q2 2010","Q3 2010","Q4 2010","Q1 2011","Q2 2011","Q3 2011","Q4 2011","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All industries  [T001] 5","1,686,093","1,698,014","1,709,247","1,729,540","1,746,304","1,749,356","1,772,473","1,782,391","1,785,970","1,796,379","1,800,212","1,804,275","1,822,916","1,832,910","1,848,071","1,865,611","1,870,902","1,891,869","1,904,109","1,915,157","1,907,483","1,906,354","1,914,426","1,916,221","1,924,704","1,917,966","1,936,403","1,946,885","1,969,830","1,991,716","1,996,068","2,008,530","2,031,192","2,045,233","2,056,079","2,062,723","2,067,167","2,091,376","2,097,620","2,103,805","2,061,362","1,837,429","2,005,576","2,048,437","2,077,938","2,075,709","2,116,635","2,156,867","2,180,563","2,203,812","2,220,933","2,220,068","2,243,529","2,250,113","2,251,327","2,256,559","2,272,242","2,289,577","2,302,487","2,315,470"
"Goods-producing industries  [T002] 5","462,037","471,060","474,416","480,507","486,104","486,373","498,928","501,738","500,640","504,653","501,331","504,937","514,219","515,777","521,765","527,545","528,782","539,461","540,214","546,339","538,733","532,670","535,845","532,054","530,196","520,814","529,937","533,997","541,932","548,877","549,145","552,387","562,353","566,260","566,266","562,869","559,276","571,478","567,445","567,133","557,445","496,076","539,381","551,581","560,793","557,744","555,679","562,668","574,234","580,949","585,597","577,445","580,675","580,405","577,838","579,298","577,026","582,404","583,766","587,300"
"Services-producing industries  [T003] 5","1,226,143","1,228,316","1,235,686","1,249,444","1,260,357","1,263,393","1,274,091","1,281,876","1,286,515","1,292,207","1,299,431","1,299,534","1,308,656","1,317,572","1,326,638","1,338,102","1,341,990","1,352,100","1,363,964","1,368,480","1,369,097","1,374,005","1,378,779","1,384,086","1,394,354","1,397,004","1,406,548","1,412,949","1,428,822","1,443,072","1,446,379","1,455,531","1,468,609","1,478,930","1,489,902","1,500,003","1,507,998","1,519,931","1,530,267","1,536,852","1,504,288","1,341,512","1,466,122","1,496,630","1,515,506","1,517,224","1,562,067","1,596,067","1,607,533","1,623,639","1,635,846","1,644,899","1,665,855","1,673,444","1,678,166","1,682,143","1,701,728","1,713,184","1,725,001","1,734,271"
"Business sector industries  [T004]","1,348,620","1,358,858","1,367,561","1,385,194","1,400,208","1,402,307","1,424,606","1,435,190","1,438,183","1,446,236","1,448,104","1,451,557","1,469,937","1,481,369","1,495,750","1,511,471","1,515,012","1,536,133","1,548,107","1,557,687","1,548,568","1,546,839","1,555,409","1,556,462","1,562,536","1,554,070","1,571,889","1,581,658","1,604,893","1,624,805","1,624,973","1,634,721","1,653,745","1,664,173","1,673,013","1,679,020","1,682,370","1,705,265","1,709,848","1,713,894","1,675,669","1,474,794","1,621,418","1,657,131","1,682,403","1,678,202","1,713,587","1,752,632","1,775,653","1,795,049","1,808,896","1,803,695","1,823,605","1,829,551","1,827,986","1,837,074","1,844,386","1,855,793","1,864,297","1,876,693"
"Non-business sector industries  [T007]","339,538","340,874","342,778","344,777","346,110","347,516","349,138","349,141","349,361","351,018","352,416","352,810","353,059","352,009","352,838","354,269","355,713","355,703","356,105","357,514","359,040","359,644","359,010","359,455","361,797","363,907","364,703","365,349","365,932","367,251","370,493","373,075","377,167","381,059","383,209","383,857","384,860","386,152","387,752","389,835","386,110","362,139","383,846","390,613","394,823","397,275","403,032","404,170","404,641","408,081","411,074","415,556","419,014","419,833","423,090","419,211","428,083","433,742","437,949","438,238"
"Industrial production  [T010] 5","306,169","313,516","315,447","320,056","323,377","323,869","333,623","334,703","331,296","331,534","326,438","326,287","331,742","331,047","334,941","341,165","343,874","353,584","352,772","356,439","351,867","347,209","351,144","348,747","349,217","342,933","352,847","355,022","360,764","365,214","362,945","363,408","372,020","375,316","378,049","377,134","372,859","382,014","374,856","374,039","364,865","316,248","349,696","360,512","366,164","361,249","367,225","371,862","375,628","379,116","380,964","373,489","379,046","379,303","378,551","380,624","377,784","381,810","382,303","384,150"
"Non-durable manufacturing industries  [T011] 5","88,602","88,735","87,905","86,390","87,588","86,520","87,800","88,276","87,676","87,193","86,977","86,530","86,785","86,476","85,870","87,584","87,108","89,068","89,835","90,529","91,470","91,816","92,417","91,420","92,326","91,909","93,274","92,932","93,774","94,983","93,567","94,303","95,931","95,569","97,636","96,144","95,170","95,495","94,754","95,937","93,596","84,560","93,389","96,555","96,498","95,577","96,608","97,765","99,491","97,194","96,184","94,290","94,958","95,982","93,712","93,060","93,886","94,875","95,882","94,313"
"Durable manufacturing industries  [T012] 5","96,707","99,639","101,343","101,935","103,807","105,019","107,381","110,485","110,644","111,598","110,220","107,434","108,826","108,610","110,338","111,221","111,028","112,603","114,535","114,370","112,265","111,178","111,244","111,700","111,862","110,561","110,232","110,333","112,285","113,690","112,281","114,369","116,467","118,494","116,729","117,726","118,581","119,419","118,837","116,532","107,949","86,544","108,702","110,337","112,327","109,941","109,651","113,373","114,778","115,402","115,013","113,539","118,105","118,046","116,934","114,759","112,154","111,233","110,244","110,625"
"Information and communication technology sector  [T013] 5","84,829","84,654","84,484","83,080","79,983","77,567","76,477","76,161","76,625","77,778","78,266","78,135","78,382","77,959","78,836","80,438","80,649","81,091","83,100","83,585","83,659","84,557","84,898","85,302","86,252","87,108","88,935","89,721","90,387","92,192","92,361","93,801","96,802","97,884","99,084","100,458","102,843","104,762","106,555","108,672","106,497","105,384","108,994","112,325","115,063","116,077","118,983","122,694","124,856","126,650","129,905","131,401","134,206","136,178","136,922","136,786","137,795","138,369","137,711","137,786"
